name,street,village_id,user_id
Margo Makmur II,Andongsari Krajan,34,1275
Margo Rahayu I,"Karangtemplek, Andongsari",34,1276
Margo Rahayu II,"Watukebo, Andongsari",34,1277
Margo Rahayu III,"Watukebo, Andongsari",34,1278
JAYA MULYA,,38,1279
MARGO MULYO,,38,1280
NGUDI KARYO,,38,1281
SUMBER HARAPAN,,38,1282
SUMBER HASIL,,38,1283
SUMBER MAKMUR,,38,1284
SUMBER REJEKI,,38,1285
BUDI MARGO MULYO DUA,Dusun Krajan PONTANG,37,1286
BUDI MARGO MULYO SATU,"Dusun Krajan, desa Pontang",37,1287
BUDI MULYO,DUSUN TENGAH PONTANG,37,1288
Karya Tani,"Dusun Krajan, desa Pontang",37,1289
Lestari,Dusun Pontang Tengah,37,1290
LESTARI SATU,KRAJAN PONTANG,37,1291
Margo Asri,DUSUN UTARA PONTANG,37,1292
MARGO RAHAYU,PONTANG,37,1293
Ngudi Rahayu,KRAJAN Pontang,37,1294
BUDI MAKMUR,"Dusun Krajan, Sabrang",36,1295
BUDI UTOMO,Dusun Kebonsari Sabrang,36,1296
DEWI SARTIKA,"Dusun Krajan, Sabrang",36,1297
KARYA TANI,"Dusun Krajan, Sabrang",36,1298
KARYA UTAMA,,36,1299
KEMBANG SORE,"Dusun Tegalrejo, Sabrang",36,1300
MEKAR SARI,"Dusun Jatirejo, Sabrang",36,1301
NGUDI BAROKAH,"Dusun Tegalrejo, Sabrang",36,1302
NGUDI KAWERUH,"Dusun Tegalrejo, Sabrang",36,1303
SIDO MAKMUR,"Dusun Kebonsari, Sabrang",36,1304
HARAPAN JAYA,Bregoh Sumberejo,33,1305
HARAPAN MAJU,Krajan Lor Sumberejo,33,1306
KARYA MUDA,Curahrejo Sumberejo,33,1307
KARYA TANI MAJU,Bregoh Sumberejo,33,1308
KARYA TANI MAKMUR,Bregoh Sumberejo,33,1309
KARYA UTAMA,Curahrejo Sumberejo,33,1310
MARGI RAHAYU,Krajan Kidul Sumberejo,33,1311
MEKAR SARI,Bregoh Sumberejo,33,1312
SIDO MAKMUR,Dusun Sidomulyo Desa Sumberejo Kec. Ambulu,33,1313
SIDO MEKAR,Dusun Watu Ulo Desa Sumberejo,33,1314
SRI REJEKI,Bregoh Sumberejo,33,1315
SUKA MAJU TERUS,Dusun Krajan Lor Sumberejo,33,1316
TANI MAKMUR,Krajan Lor Sumberejo,33,1317
Harapan Makmur,"Dusun Tutul, desa Tegalsari",39,1318
Rukun Tani,"Dusun tegalsari, desa tegalsari",39,1319
Setia Bakti,"Dusun Bedengan, desa Tegalsari",39,1320
Sumber Makmur,"Dusun Tutul,desa Tegalsari",39,1321
Karya Bakti,Krajan,40,1322
Karya Makmur,Krajan,40,1323
Lestari,Krajan,40,1324
MEKAR SARI,Krajan,40,1325
sumber rejeki,Krajan,40,1326
TANI MAKMUR,Krajan,40,1327
Bina Usaha,Krajan,41,1328
